date,task_id,task_revision,success_criterion,delivery_delta,risk_tier,model,profile,accepted,started_at,first_runnable_at,completed_at,cycle_minutes,first_pass_accepted,coordination_input_tokens,implementation_input_tokens,cached_input_tokens,output_tokens,estimated_ai_cost,currency,provider_cost,worker_turns,retries,focused_test_runs,integration_test_runs,full_suite_runs,provider_runs,human_review_minutes,human_wait_minutes,outcome,later_rework,escaped_defect,rollback_required,notes
2026-08-08,REMOVE_ALL_LEGACY_GIT_AND_DUPLICATE_SOURCE,1,Exactly one active canonical source remains; unique WIP is hash-verified in the approved external archive; authorized legacy source/history is absent or reported as an exact locked residue.,RISK_RETIREMENT,R3,UNSPECIFIED,DEEP,yes,2026-08-08T22:30:54+00:00,,2026-08-08T22:46:26+00:00,15.53,yes,,,,,0.000000,USD,0.000000,,,1,1,1,0,,,CLEAN_DEVELOPMENT_READY_LEGACY_STORAGE_DELETE_DEFERRED,unknown,unknown,yes,"Read-only final verification PASS: canonical HEAD and remote exact, Git clean, archived WIP manifest/hash parity PASS, Build OS check PASS."
2026-08-08,BUILD_OS_SINGLE_SOURCE_OF_TRUTH_CLEANUP,1,"A fresh worker can determine canonical source, current Build OS state, active-task continuation path, product documentation, and non-authoritative historical reports solely from the canonical repository.",DOCUMENTATION_ONLY,R2,UNSPECIFIED,STANDARD,yes,2026-08-08T23:17:17+00:00,,2026-08-08T23:21:45+00:00,4.47,yes,,,,,0.000000,USD,0.000000,1,1,1,1,0,0,,,BUILD_OS_DOCUMENTATION_CONSOLIDATION_COMPLETED,unknown,unknown,no,"Documentation-only cleanup; no product code, runtime behavior, tests, or release artifacts changed."
2026-08-08,SEMANTIC_ASR_SOURCE_CAPTION_ACCEPTANCE_BASELINE,1,SC-001,RISK_RETIREMENT,R2,UNSPECIFIED,STANDARD,yes,2026-08-08T23:33:03+00:00,,2026-08-08T23:41:16+00:00,8.22,yes,,,,,,USD,,,1,1,1,0,3,,,SEMANTIC_ASR_SOURCE_CAPTION_ACCEPTANCE_FAIL_TRANSLATION_MODE_LOCALIZED,unknown,unknown,no,Current real-media probe showed task=translate produces materially degraded English text while task=transcribe produces Chinese source text. Raw ASR equals final active captions in two retained 666.4-second product runs.
2026-08-08,LOCAL_ASR_SOURCE_TRANSLATION_TRACK_SEPARATION,1,SC-001,USER_VISIBLE_BEHAVIOR,R2,UNSPECIFIED,STANDARD,yes,2026-08-08T23:46:24+00:00,,2026-08-08T23:52:26+00:00,6.03,yes,,,,,,USD,,,1,1,1,0,1,,,LOCAL_ASR_SOURCE_TRANSLATION_TRACK_SEPARATION_IMPLEMENTED,unknown,unknown,no,The source local-transcription track is now independent of the target-language setting and is persisted as a source track; existing translation-track behavior is unchanged. | reconcile 2026-08-08T23:52:59+00:00: Verified product commit 3aaa138bca9d followed accepted evidence; no post-evidence source change.
2026-08-08,BUILD_OS_POST_COMMIT_STATE_SYNC,1,SC-001,NO_DELTA,R0,UNSPECIFIED,LEAN,yes,2026-08-08T23:53:17+00:00,,2026-08-08T23:53:30+00:00,0.22,yes,,,,,,USD,,,,1,1,0,,,,BUILD_OS_STATE_SYNC_COMPLETED,unknown,unknown,no,Synchronized Build OS continuity to the already committed product change.
2026-08-09,REAL_MEDIA_SOURCE_ASR_QUALITY_BASELINE,1,SC-001,RISK_RETIREMENT,R2,UNSPECIFIED,STANDARD,yes,2026-08-09T00:15:00+00:00,,2026-08-09T00:19:08+00:00,4.13,unknown,,,,,,USD,,,,1,1,0,1,,,REAL_MEDIA_SOURCE_ASR_QUALITY_BASELINE_BLOCKED_NO_AUTHORITATIVE_REFERENCE,unknown,unknown,no,Measured only deterministic source-track preservation and localization. No production ASR configuration or code was changed.
2026-08-09,BUILD_OS_V116_ADOPTION,1,SC-001,RISK_RETIREMENT,R3,UNSPECIFIED,DEEP,yes,2026-08-09T03:40:02+00:00,,2026-08-09T04:05:32+00:00,25.50,no,,,,,,USD,,,,1,1,1,,,,Senior AI Build OS v1.16 adopted and validated with preserved Tool AutoSub project continuity,unknown,unknown,yes,Windows/Python-3.11 compatibility and self-test isolation corrections were required during adoption.
2026-08-09,AUTOSUB_EXTERNAL_TRANSCRIPTION_MVP-EXTERNAL_TRANSCRIPTION_PROVIDER,1,SC-001,EXECUTABLE_CAPABILITY,R2,UNSPECIFIED,STANDARD,yes,2026-08-09T04:10:09+00:00,,2026-08-09T04:17:38+00:00,7.48,no,,,,,,USD,,2,1,1,1,0,0,,,"AutoSub has a replaceable AutoSubs v3.8.0 subprocess provider that verifies the real engine version and cached small model, normalizes timestamped source cues, and fails safely without translation or fallback.",unknown,unknown,no,"Initial cache preflight assumed unsupported AutoSubs environment variables; independent review caught the issue, and one bounded correction changed it to the engine's --list-models contract. AutoSubs v3.8.0 is MIT; optional MMS forced alignment remains excluded because it is noncommercial."
2026-08-09,AUTOSUB_EXTERNAL_TRANSCRIPTION_MVP-ONE_CLICK_EXTERNAL_TRANSCRIPTION_SLICE,1,SC-001,USER_VISIBLE_BEHAVIOR,R2,UNSPECIFIED,STANDARD,yes,2026-08-09T04:17:48+00:00,,2026-08-09T04:30:00+00:00,12.20,no,,,,,,USD,,1,1,1,1,0,0,,,"One-click Simple Workflow now defaults to AutoSubs local external transcription, preserves the source track, and creates a separate translation track only when languages differ.",unknown,unknown,no,"Fresh reviewer initially found missing actionable polling-UI detail and inaccurate default ASR metadata. One bounded correction added sanitized persisted detail, UI rendering, mode-aware metadata, and regression coverage; fresh re-review PASS with signed Guardian attestation."
2026-08-09,AUTOSUB_EXTERNAL_TRANSCRIPTION_SHIP-SHIP_EXTERNAL_TRANSCRIPTION_MVP,1,Canonical delta matches the externally reconstructed 11 tracked Git blobs and five SHA-verified untracked files; real source-only Chinese smoke and frozen 5/5 acceptance pass.,EXECUTABLE_CAPABILITY,R2,UNSPECIFIED,STANDARD,yes,2026-08-09T05:30:56+00:00,,2026-08-09T05:49:35+00:00,18.65,no,,,,,,USD,,,2,1,1,1,2,,,"AutoSubs v3.8.0 small now provides source-only Chinese timestamped cues through the external provider and source-track resolution, with target-language translation remaining separate.",unknown,unknown,no,Recovery used target Git blobs preserved in the local object database after patch-context recovery mechanics failed; no product behavior was redesigned.
